agegroup,males,propmales,females,propfemales,popage,propage
1,7662836,0.5106243864,7343960,0.4893756136,15006796,0.08803355014
2,7781413,0.5103773404,7464979,0.4896226596,15246392,0.0894390791
3,7962048,0.5104280358,7636719,0.4895719642,15598767,0.09150619738
4,8274149,0.5113626897,7906439,0.4886373103,16180588,0.09491930223
5,8044959,0.5092196765,7753643,0.4907803235,15798602,0.09267847856
6,7532512,0.5021105273,7469189,0.4978894727,15001701,0.08800366162
7,7019080,0.4934563818,7205237,0.5065436182,14224317,0.08344333619
8,6478735,0.4901324191,6739601,0.5098675809,13218336,0.07754200464
9,5709951,0.4906868807,5926698,0.5093131193,11636649,0.06826344032
10,4816578,0.499690532,4822544,0.500309468,9639122,0.05654545646
11,4342797,0.5012486789,4321160,0.4987513211,8663957,0.05082489913
12,3520369,0.5061814525,3434388,0.4938185475,6954757,0.04079831225
13,2368584,0.5143589775,2236340,0.4856410225,4604924,0.02701361489
14,1461427,0.5196391821,1350961,0.4803608179,2812388,0.01649815857
15,1188197,0.5098048217,1142493,0.4901951783,2330690,0.01367239982
16,843156,0.5031898602,832466,0.4968101398,1675622,0.009829610088
17,515750,0.5032797347,509028,0.4967202653,1024778,0.006011599374
18,267671,0.4968869269,271025,0.5031130731,538696,0.003160123009
19,109865,0.4818893977,118123,0.5181106023,227988,0.001337433589
20,32884,0.4806056532,35538,0.5193943468,68422,0.0004013802525
21,6423,0.4832957111,6867,0.5167042889,13290,0.00007796240326